price,time
28087.31000000,1679471643252
28087.75000000,1679471643551
28087.86000000,1679471643855
28087.86000000,1679471644155
28089.16000000,1679471644448
28089.17000000,1679471644744
28089.17000000,1679471645057
28089.26000000,1679471645358
28089.26000000,1679471645657
28089.28000000,1679471645964
28089.40000000,1679471646267
28093.53000000,1679471646567
28093.90000000,1679471646860
28093.76000000,1679471647172
28092.77000000,1679471647468
28090.65000000,1679471647768
28091.28000000,1679471648084
28092.08000000,1679471648385
28092.09000000,1679471648684
28092.09000000,1679471648987
28090.43000000,1679471649284
28089.16000000,1679471649598
28088.86000000,1679471649898
28088.86000000,1679471650196
28088.85000000,1679471650502
28088.85000000,1679471650806
28088.63000000,1679471651108
28088.29000000,1679471651432
28088.29000000,1679471651742
28088.29000000,1679471652048
28088.29000000,1679471652348
28086.73000000,1679471652640
28086.74000000,1679471652951
28086.74000000,1679471653266
28086.75000000,1679471653568
28086.75000000,1679471653878
28086.73000000,1679471654182
28086.74000000,1679471654770
28086.45000000,1679471655353
28086.46000000,1679471655668
28085.75000000,1679471655969
28087.92000000,1679471656568
28087.93000000,1679471657164
28088.01000000,1679471657473
28093.53000000,1679471658070
28093.91000000,1679471658378
28093.91000000,1679471658677
28093.90000000,1679471658980
28093.91000000,1679471659278
28093.91000000,1679471659581
28093.96000000,1679471659884
28093.96000000,1679471660189
28095.24000000,1679471660488
28095.28000000,1679471660789
28095.24000000,1679471661094
28094.12000000,1679471661406
28094.07000000,1679471661711
28094.06000000,1679471662013
28093.62000000,1679471662317
28089.73000000,1679471662623
28088.62000000,1679471662933
28085.37000000,1679471663521
28084.75000000,1679471663835
28084.75000000,1679471664135
28084.64000000,1679471664442
28084.65000000,1679471664753
28084.66000000,1679471665052
28084.76000000,1679471665346
28086.24000000,1679471665644
28086.34000000,1679471665953
28086.34000000,1679471666264
28086.25000000,1679471666567
28086.25000000,1679471666862
28086.25000000,1679471667171
28086.25000000,1679471667475
28086.24000000,1679471667783
28086.25000000,1679471668087
28086.25000000,1679471668382
28086.25000000,1679471668692
28086.25000000,1679471669286
28086.31000000,1679471669591
28086.35000000,1679471669891
28086.57000000,1679471670214
28088.36000000,1679471670510
28088.36000000,1679471670805
28088.37000000,1679471671110
28088.58000000,1679471671403
28089.05000000,1679471671704
28089.06000000,1679471672004
28089.20000000,1679471672311
28089.57000000,1679471672624
28091.38000000,1679471673085
28092.16000000,1679471673396
28092.53000000,1679471673690
28093.25000000,1679471673994
28094.05000000,1679471674289
28094.12000000,1679471674613
28096.24000000,1679471675367
28096.39000000,1679471675661
28096.44000000,1679471675950
28096.44000000,1679471676247
28096.44000000,1679471676541
28096.44000000,1679471676848
28096.43000000,1679471677153
28096.40000000,1679471677457
28096.38000000,1679471677774
28096.32000000,1679471678079
28095.92000000,1679471678385
28095.77000000,1679471678687
28095.77000000,1679471678991
28096.43000000,1679471679289
28096.44000000,1679471679588
28096.44000000,1679471679881
28096.43000000,1679471680186
28096.43000000,1679471680499
28096.44000000,1679471680792
28096.43000000,1679471681107
28096.45000000,1679471681421
28098.50000000,1679471681724
28098.83000000,1679471682024
28098.86000000,1679471682320
28099.92000000,1679471682619
28100.00000000,1679471682923
28100.06000000,1679471683226
28100.16000000,1679471683520
28100.30000000,1679471683814
28100.67000000,1679471684106
28100.71000000,1679471684422
28100.71000000,1679471684732
28101.32000000,1679471685037
28101.31000000,1679471685333
28101.94000000,1679471685645
28101.94000000,1679471685944
28102.00000000,1679471686245
28103.85000000,1679471686560
28103.54000000,1679471686859
28104.96000000,1679471687157
28106.08000000,1679471687454
28105.31000000,1679471687774
28100.85000000,1679471688079
28100.86000000,1679471688382
28103.60000000,1679471688687
28103.61000000,1679471688986
28104.59000000,1679471689292
28105.25000000,1679471689587
28105.44000000,1679471689887
28105.46000000,1679471690197
28105.48000000,1679471690502
28105.33000000,1679471690812
28105.32000000,1679471691133
28104.77000000,1679471691439
28104.78000000,1679471691760
28107.60000000,1679471692062
28108.93000000,1679471692369
28108.95000000,1679471692664
28107.64000000,1679471692973
28106.52000000,1679471693287
28104.36000000,1679471693597
28104.28000000,1679471693896
28104.28000000,1679471694213
28103.35000000,1679471694522
28102.60000000,1679471694832
28102.37000000,1679471695134
28102.17000000,1679471695454
28104.37000000,1679471695752
28104.37000000,1679471696061
28103.48000000,1679471696373
28105.63000000,1679471696675
28100.00000000,1679471696993
28099.99000000,1679471697303
28098.50000000,1679471697601
28098.49000000,1679471697924
28098.28000000,1679471698247
28096.49000000,1679471698550
28096.41000000,1679471698854
28096.41000000,1679471699148
28096.41000000,1679471699448
28096.41000000,1679471699757
28096.41000000,1679471700073
28096.41000000,1679471700366
28096.40000000,1679471700671
28096.41000000,1679471700991
28096.41000000,1679471701282
28096.40000000,1679471701585
28096.40000000,1679471701895
28096.40000000,1679471702207
28096.42000000,1679471702515
28096.43000000,1679471702824
28097.41000000,1679471703133
28097.50000000,1679471703432
28099.95000000,1679471703742
28099.95000000,1679471704072
28099.99000000,1679471704387
28100.00000000,1679471704992
28100.07000000,1679471705298
28101.05000000,1679471705610
28105.00000000,1679471705910
28105.11000000,1679471706218
28104.99000000,1679471706536
28104.44000000,1679471706840
28103.67000000,1679471707154
28103.67000000,1679471707449
28103.46000000,1679471707779
28103.45000000,1679471708095
28103.44000000,1679471708415
28102.83000000,1679471708722
28102.83000000,1679471709032
28103.36000000,1679471709342
28103.36000000,1679471709659
28103.36000000,1679471709966
28103.36000000,1679471710256
28103.35000000,1679471710557
28103.35000000,1679471710874
28103.34000000,1679471711180
28103.34000000,1679471711487
28103.33000000,1679471711797
28103.30000000,1679471712102
28101.50000000,1679471712406
28101.49000000,1679471712712
28100.21000000,1679471713466
28100.21000000,1679471713762
28100.22000000,1679471714066
28100.23000000,1679471714376
28100.23000000,1679471714672
28100.97000000,1679471714979
28101.05000000,1679471715286
28100.24000000,1679471715593
28100.22000000,1679471715895
28100.08000000,1679471716209
28099.94000000,1679471716511
28099.07000000,1679471716825
28099.08000000,1679471717130
28099.07000000,1679471717435
28098.92000000,1679471717740
28098.92000000,1679471718052
28096.43000000,1679471718649
28083.49000000,1679471718958
28081.39000000,1679471719267
28078.37000000,1679471719567
28078.65000000,1679471719880
28079.57000000,1679471720184
28079.75000000,1679471720489
28079.75000000,1679471720807
28080.93000000,1679471721128
28081.11000000,1679471721427
28081.12000000,1679471721723
28079.76000000,1679471722030
28079.76000000,1679471722331
28079.77000000,1679471722658
28079.81000000,1679471722966
28081.62000000,1679471723286
28081.62000000,1679471723591
28082.81000000,1679471723904
28082.81000000,1679471724202
28082.81000000,1679471724509
28082.81000000,1679471724812
28082.81000000,1679471725119
28086.06000000,1679471725418
28086.07000000,1679471725723
28087.10000000,1679471726030
28087.47000000,1679471726336
28089.74000000,1679471726643
28088.38000000,1679471726957
28088.37000000,1679471727265
28087.50000000,1679471727576
28087.50000000,1679471727894
28087.47000000,1679471728199
28087.47000000,1679471728501
28087.47000000,1679471728810
28087.47000000,1679471729114
28087.46000000,1679471729414
28087.45000000,1679471729726
28092.53000000,1679471730034
28092.66000000,1679471730339
28092.62000000,1679471730640
28092.62000000,1679471730947
28092.47000000,1679471731249
28091.92000000,1679471731559
28091.38000000,1679471731854
28091.15000000,1679471732159
28091.09000000,1679471732466
28091.09000000,1679471732770
28091.08000000,1679471733246
28091.07000000,1679471733549
28090.95000000,1679471733852
28090.69000000,1679471734160
28089.96000000,1679471734474
28089.67000000,1679471734784
28089.59000000,1679471735099
28089.01000000,1679471735406
28089.01000000,1679471735713
28089.01000000,1679471736038
28089.12000000,1679471736355
28090.81000000,1679471736662
28090.41000000,1679471736969
28090.40000000,1679471737273
28089.18000000,1679471737579
28089.14000000,1679471737885
28087.64000000,1679471738474
28087.48000000,1679471738790
28087.46000000,1679471739108
28087.21000000,1679471739407
28085.89000000,1679471739696
28084.51000000,1679471740019
28084.51000000,1679471740318
28084.40000000,1679471740618
28084.40000000,1679471740920
28083.56000000,1679471741223
28081.84000000,1679471741523
28081.79000000,1679471741845
28081.77000000,1679471742171
28081.12000000,1679471742496
28081.12000000,1679471743103
28081.13000000,1679471743407
28081.13000000,1679471743708
28081.12000000,1679471744018
28081.12000000,1679471744317
28080.04000000,1679471744624
28080.03000000,1679471744924
28082.15000000,1679471745232
28082.15000000,1679471745530
28082.15000000,1679471745836
28082.15000000,1679471746141
28082.53000000,1679471746433
28078.46000000,1679471746760
28076.10000000,1679471747053
28075.47000000,1679471747346
28075.47000000,1679471747656
28075.48000000,1679471747963
28075.43000000,1679471748258
28075.43000000,1679471748566
28075.00000000,1679471748875
28074.87000000,1679471749167
28074.01000000,1679471749471
28074.01000000,1679471749771
28074.00000000,1679471750076
28073.63000000,1679471750379
28073.62000000,1679471750682
28073.08000000,1679471750987
28072.51000000,1679471751286
28072.31000000,1679471751600
28070.01000000,1679471751918
28070.04000000,1679471752226
28070.02000000,1679471752533
28070.03000000,1679471752836
28070.03000000,1679471753142
28070.02000000,1679471753439
28070.02000000,1679471753745
28070.02000000,1679471754047
28070.59000000,1679471754352
28071.27000000,1679471754654
28072.29000000,1679471754969
28072.71000000,1679471755273
28073.99000000,1679471755578
28073.99000000,1679471755884
28073.99000000,1679471756192
28075.30000000,1679471756499
28075.12000000,1679471756807
28075.11000000,1679471757113
28075.12000000,1679471757427
28075.11000000,1679471757732
28076.88000000,1679471758052
28076.09000000,1679471758365
28076.15000000,1679471758661
28076.15000000,1679471758975
28076.15000000,1679471759277
28076.15000000,1679471759594
28076.15000000,1679471759897
28076.15000000,1679471760195
28076.16000000,1679471760507
28075.15000000,1679471760812
28074.63000000,1679471761128
28074.53000000,1679471761437
28074.47000000,1679471761754
28074.42000000,1679471762052
28074.06000000,1679471762357
28074.06000000,1679471762656
28074.41000000,1679471762964
28074.01000000,1679471763274
28073.08000000,1679471763576
28074.33000000,1679471763889
28074.33000000,1679471764197
28073.00000000,1679471764499
28072.93000000,1679471764804
28074.32000000,1679471765108
28074.32000000,1679471765410
28074.40000000,1679471765717
28074.41000000,1679471766019
28074.40000000,1679471766322
28074.31000000,1679471766619
28073.93000000,1679471766920
28073.53000000,1679471767224
28072.81000000,1679471767531
28072.66000000,1679471767834
28072.36000000,1679471768142
